"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"Rank1"
"New.ReferenceOTU4247"	30.3193579750745	1.70345472322891	0.479486927080282	3.55266145336158	0.000381354914655842	0.00552283635331942	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Polaribacter"	NA	NA
"New.ReferenceOTU4597"	11.5610666347728	-2.09563094746795	0.467484484533968	-4.48278181800422	7.36762476840715e-06	0.000434230866834864	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Pseudoalteromonadaceae"	"Pseudoalteromonas"	NA	NA
"New.ReferenceOTU4069"	21.5235052530527	2.66058959191532	0.620446363828022	4.28818629139841	1.80137986200394e-05	0.000695675746707237	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	NA	NA	NA	NA	NA
"New.ReferenceOTU1339"	28.6909159264962	-0.952564773594351	0.324309851250342	-2.93720579230584	0.00331184250676015	0.023901995923368	NA	NA	NA	NA	NA	NA	NA	"Unassigned"
"New.ReferenceOTU4201"	34.3553935762329	-1.75008516041118	0.492126221089317	-3.55617133453564	0.000376298720128785	0.00552283635331942	"Bacteria"	"Tenericutes"	"Mollicutes"	"Mycoplasmatales"	"Mycoplasmataceae"	NA	NA	NA
"New.ReferenceOTU4207"	17.3783603557074	1.55871847420454	0.584145788849774	2.66837235491121	0.00762197343505557	0.0451198573418253	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"	NA	NA
"New.ReferenceOTU424"	48.9858172754998	1.39214427040703	0.495064894414	2.81204400900793	0.00492277674025355	0.0314359994987845	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Colwelliaceae"	NA	NA	NA
"New.ReferenceOTU3217"	54.4821976630463	-1.62249778291903	0.397558763496107	-4.08115210101491	4.48130160783206e-05	0.00114972763872724	NA	NA	NA	NA	NA	NA	NA	"Unassigned"
"New.ReferenceOTU1695"	218.523673705292	1.96449440017523	0.451261293059755	4.35334124683079	1.34078197644776e-05	0.000639631872293609	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Oceanospirillaceae"	"Amphritea"	NA	NA
"New.ReferenceOTU217"	5.30959459213902	1.79421600815485	0.634274468128388	2.82876908706291	0.00467274004002312	0.03031673737967	"Bacteria"	"GN02"	"BD1-5"	NA	NA	NA	NA	NA
"New.ReferenceOTU256"	115.17727242867	1.87958153937661	0.513136069298869	3.66293007222197	0.000249346624682648	0.00430255558760909	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Phaeobacter"	NA	NA
"New.ReferenceOTU251"	9254.75511606334	-1.06643479753015	0.278226120712613	-3.83297871098056	0.000126600913502968	0.00256683352127267	NA	NA	NA	NA	NA	NA	NA	"Unassigned"
